"country","year","unemployment_rate"
"ALB",1980,5
"ALB",1981,4.2
"ALB",1982,2.8
"ALB",1983,3.3
"ALB",1984,4.4
"ALB",1985,5.9
"ALB",1986,5.4
"ALB",1987,5.2
"ALB",1988,6
"ALB",1989,6.7
"ALB",1990,8.5
"ALB",1991,8.9
"ALB",1992,26.5
"ALB",1993,22.3
"ALB",1994,18.4
"ALB",1995,12.9
"ALB",1996,12.3
"ALB",1997,14.9
"ALB",1998,17.7
"ALB",1999,18.4
"ALB",2000,16.8
"ALB",2001,16.4
"ALB",2002,15.8
"ALB",2003,15
"ALB",2004,14.4
"ALB",2005,14.1
"ALB",2006,13.8
"ALB",2007,13.4
"ALB",2008,13.1
"ALB",2009,13.8
"ALB",2010,14
"ALB",2011,14
"ALB",2012,13.4
"ALB",2013,15.9
"ALB",2014,17.5
"ALB",2015,17.1
"ALB",2016,15.2
"ALB",2017,13.7
"ALB",2018,12.3
"ALB",2019,11.5
"ALB",2020,11.7
"ALB",2021,11.5
"ALB",2022,10.9
"ALB",2023,10.7
"ALB",2024,10.7
"ALB",2025,10.7
"ALB",2026,10.7
"ALB",2027,10.7
"ALB",2028,10.7
"ALB",2029,10.7
"DZA",1980,15.8
"DZA",1981,15.4
"DZA",1982,15
"DZA",1983,14.3
"DZA",1984,16.5
"DZA",1985,16.9
"DZA",1986,18.4
"DZA",1987,20.1
"DZA",1988,21.8
"DZA",1989,18.1
"DZA",1990,19.8
"DZA",1991,20.3
"DZA",1992,21.4
"DZA",1993,23.2
"DZA",1994,24.4
"DZA",1995,28.1
"DZA",1996,28
"DZA",1997,28
"DZA",1998,28
"DZA",1999,29.3
"DZA",2000,29.5
"DZA",2001,27.3
"DZA",2002,25.7
"DZA",2003,23.7
"DZA",2004,17.7
"DZA",2005,15.3
"DZA",2006,12.5
"DZA",2007,13.8
"DZA",2008,11.3
"DZA",2009,10.2
"DZA",2010,10
"DZA",2011,10
"DZA",2012,11
"DZA",2013,9.8
"DZA",2014,10.6
"DZA",2015,11.2
"DZA",2016,10.5
"DZA",2017,11.7
"DZA",2018,11.7
"DZA",2019,11.4
"ARG",1980,3
"ARG",1981,5
"ARG",1982,4.5
"ARG",1983,5
"ARG",1984,5
"ARG",1985,6.2
"ARG",1986,6.3
"ARG",1987,6
"ARG",1988,6.5
"ARG",1989,8
"ARG",1990,7.6
"ARG",1991,6.5
"ARG",1992,7.1
"ARG",1993,11.6
"ARG",1994,13.3
"ARG",1995,18.9
"ARG",1996,18.8
"ARG",1997,16.8
"ARG",1998,14.8
"ARG",1999,16.1
"ARG",2000,17.1
"ARG",2001,19.2
"ARG",2002,22.5
"ARG",2003,17.3
"ARG",2004,13.6
"ARG",2005,11.6
"ARG",2006,10.2
"ARG",2007,8.5
"ARG",2008,7.9
"ARG",2009,8.7
"ARG",2010,7.8
"ARG",2011,7.2
"ARG",2012,7.2
"ARG",2013,7.1
"ARG",2014,7.3
"ARG",2015,6.5
"ARG",2016,8.5
"ARG",2017,8.4
"ARG",2018,9.2
"ARG",2019,9.8
"ARG",2020,11.6
"ARG",2021,8.8
"ARG",2022,6.8
"ARG",2023,6.1
"ARG",2024,8.2
"ARG",2025,7.6
"ARG",2026,7.2
"ARG",2027,7
"ARG",2028,7
"ARG",2029,7
"ARM",2001,38.4
"ARM",2002,35.3
"ARM",2003,31.2
"ARM",2004,31.6
"ARM",2005,31.2
"ARM",2006,27.8
"ARM",2007,28.7
"ARM",2008,16.4
"ARM",2009,18.7
"ARM",2010,19
"ARM",2011,18.4
"ARM",2012,17.3
"ARM",2013,16.2
"ARM",2014,17.6
"ARM",2015,18.5
"ARM",2016,18
"ARM",2017,17.8
"ARM",2018,19
"ARM",2019,18.3
"ARM",2020,18.2
"ARM",2021,15.5
"ARM",2022,13.5
"ARM",2023,12.6
"ARM",2024,13
"ARM",2025,13.5
"ARM",2026,14
"ARM",2027,14
"ARM",2028,14
"ARM",2029,14
"ABW",1991,6.1
